country,log_deaths,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0
Austria,1.8446001366022036,,,8.235321936255525,36.76497076290337,69.24060862172827,70.89013040073806,67.47926779801696,64.95891464045862,58.42241016404286,53.59975275558683,47.54783510801684,38.6877413818817,,
Belgium,2.87602993791462,,,,23.783895070460108,61.42510881874866,73.13751401375613,72.63180670656172,70.42804609064055,68.98539509091306,65.57038053430047,64.6916773945972,57.26149945077117,,
Bosnia_and_Herzegovina,1.5940799849932292,,21.57936507936508,56.04761904761905,61.99999999999999,56.90476190476189,54.45578231292516,54.088435374149654,48.6530612244898,48.0204081632653,32.8095238095238,,,,
Bulgaria,1.1786657412332446,6.374071061252397,24.74064552656788,55.04075146578526,64.3422492084962,63.76426542278169,58.49473119049644,60.58514076358212,57.22437268623929,53.286670531286056,38.37728256898998,26.07142857142857,,,
Croatia,1.363859171101433,,15.606125383477274,48.428780933191305,71.53672215695268,72.47345427902327,69.41261729129555,67.15690640561658,60.601689982797915,56.363932852352164,45.96158675315495,33.79365079365079,,,
Czechia,1.4417045525970138,,,22.945578231292522,54.2857142857143,54.795918367346964,51.761904761904766,53.306122448979615,47.088435374149675,41.108843537414984,40.97959183673471,34.66666666666668,25.190476190476204,,
Denmark,1.972263203588555,,,15.654063171061065,43.92503328621079,54.40243661388308,52.01114468722556,48.73456552929553,46.52696235785494,38.26940984048971,36.54859734068737,33.637334214640426,28.533333333333303,,
Estonia,1.67668011568453,,,23.467017597216863,48.85603451393008,55.17899988209909,56.04050029126545,53.67395182455696,50.49126046887564,45.10956130377862,43.29792804299568,29.743069990115895,,,
Finland,1.7144503747740198,,,16.249757569185018,40.94967314068328,49.38819301245722,50.472579964036605,52.20196025133004,48.66579912827688,43.10749528781259,42.66114256993645,38.07545735461611,,,
France,2.6249931888754117,,,,5.82309036423111,24.97737011102341,71.92306242485358,82.36598434929104,81.52631999479422,80.51440725535561,78.45945902530418,75.88708583996879,73.55313741447904,62.590881756280616,49.28571428571421
Germany,1.9766646832178116,,,,6.612157831243629,22.795766138313546,53.299421679602,60.24612710427465,56.703532262179344,57.401470571648915,51.05587449539955,47.48571873587923,45.636724076179355,31.960425835122354,
Greece,1.191104266964326,,7.15319945664213,27.505501666681386,61.4145701281775,74.05319369559315,73.86156508517317,70.78837139318257,70.8250440274434,68.61907154586389,62.28439894126392,42.9879543640862,32.30952380952386,,
Hungary,1.6660675282448192,,19.685226610054407,47.60148293564048,57.355400692411024,54.18020674699916,55.85220742170503,51.534714328231416,47.81344375148866,45.82963654364281,34.88442367912645,32.28571428571426,,,
Ireland,2.484999775903125,,5.8480178902505635,25.671997408822115,56.85793089745159,70.55050377465479,77.15888492735904,78.0214073375504,77.03141503593022,75.24663414864786,73.20504746313931,64.96374596154176,,,
Italy,2.717928231505168,,,7.838259452078421,17.559234891252633,36.11550320261365,71.04468330998188,81.9217374447918,83.61186296343806,82.57760555381044,82.2331030003081,79.77261419617842,78.18768595155805,72.35338588387019,54.99135044880611
Luxembourg,2.2177493876790684,,8.832238643253266,41.314828432592705,74.35518476645838,77.3604797769782,75.73896066721389,74.75294027731005,69.74622340316718,66.3907466416545,62.32254146541228,52.59047619047628,,,
Netherlands,2.5126341138087827,,,,19.2626755249033,51.94803806737211,61.38440789487999,60.07131296087539,58.29006500444708,56.56342010524596,53.24434476048902,52.448671062193185,43.820123834518995,,
Norway,1.6320794840888166,,,6.46818962132535,27.33263820011504,53.77427859171967,55.09704339311166,51.274978819375846,54.08140132211114,44.12033923322833,36.659901020937866,35.829899640526826,27.443797351586664,23.571428571428577,
Poland,1.38282495291955,,6.5401813701378515,29.107559354287726,55.0268351807029,60.404616593317144,61.60513032069692,64.36590386277484,59.385214981221246,49.36494152506062,45.55976296076724,34.96951800887597,33.04761904761905,,
Portugal,2.0715560016155923,,5.8412517073321615,24.730154864479974,65.19372691568739,76.84226673503692,77.06748711592438,78.1798670002968,75.06361072223926,72.36205141537413,70.27934288685081,59.33775758851744,54.30952380952376,,
Romania,1.7542994621502985,,7.73741758362637,24.54385750308197,50.788768659307,66.16611758811472,67.13443232171483,64.44774806298386,67.79006349314285,63.377043301655966,60.121292435783786,49.43075502191981,41.476190476190474,,
Serbia,1.4162103939930464,,14.169859568805851,46.46707534494818,68.20380793042817,70.34308770115648,70.26798960924165,70.38830653421562,67.84156494480622,61.045569002143374,42.824804688788596,25.730158730158774,,,
Slovakia,0.7100357086748992,6.004109403586204,21.969248803976154,56.68838213286267,62.37332142723305,57.88385880347022,59.11594962628611,58.425128180122705,49.15746801531732,46.96258378002913,43.68490818590937,38.65476190476189,,,
Slovenia,1.6950075946918801,5.707809016806886,6.233215866519681,27.187083105748382,62.46316284778186,69.3133861890438,68.55727269412422,67.15730572272085,63.48110425773957,57.26006317496907,54.01930405735279,35.56231372412863,30.78571428571435,,
Spain,2.7696664851758115,,,,13.514705571742603,56.31950384453619,83.61097825515783,86.63316315124165,87.41403534565913,86.46385009505146,83.98837827718557,81.79138653661165,76.0649940201509,63.595238095238095,
Sweden,2.5612791007209097,,,,14.444262733862757,30.958121294588228,33.58870419885584,34.05707105371329,36.100038494691276,31.341411309035646,26.375633678298076,28.486842441713858,23.08250669286786,23.23809523809524,
Switzerland,2.337092080429523,,,6.174503907231927,15.276026311602935,47.99156127283583,62.892132386281105,62.30204045748719,60.40834698538067,57.17631630080644,52.247667511626524,49.799469957343426,42.486813822647825,34.06349206349207,
United_Kingdom,2.70695204610071,,,,10.500086503416872,34.03373548757112,65.63258252169109,74.85831191653399,75.30442358970298,74.33244618978142,71.5990556512958,70.7172906899298,67.62847051256246,63.85714285714288,
